# Log file created with: 'geigerlog_simple_500plus.py', Version: 0.1 (code °µ°)
# Python Version: 2.7.12 (default, Dec  4 2017, 14:50:18) [GCC 5.4.0 20160609]
# DateTime,          CPS, CPM, CPM1st, CPM2nd
2018-07-16 09:03:08, 0, 8, 8, 8
2018-07-16 09:03:09, 0, 8, 8, 8
2018-07-16 09:03:10, 0, 8, 8, 8
2018-07-16 09:03:11, 0, 8, 8, 8
2018-07-16 09:03:12, 0, 8, 8, 8
2018-07-16 09:03:13, 0, 8, 8, 8
2018-07-16 09:03:14, 0, 8, 8, 8
2018-07-16 09:03:15, 0, 8, 8, 8
2018-07-16 09:03:16, 0, 8, 8, 8
2018-07-16 09:03:17, 0, 8, 8, 8
2018-07-16 09:03:18, 0, 8, 8, 8
2018-07-16 09:03:19, 0, 8, 8, 8
2018-07-16 09:03:20, 0, 8, 8, 8
2018-07-16 09:03:22, 0, 8, 8, 8
2018-07-16 09:03:23, 0, 8, 8, 8
2018-07-16 09:03:24, 0, 8, 8, 8
2018-07-16 09:03:25, 0, 8, 8, 8
2018-07-16 09:03:26, 0, 8, 8, 8
2018-07-16 09:03:27, 1, 9, 9, 9
2018-07-16 09:03:28, 0, 9, 9, 9
2018-07-16 09:03:29, 0, 9, 9, 9
2018-07-16 09:03:30, 0, 9, 9, 9
2018-07-16 09:03:31, 0, 9, 9, 9
2018-07-16 09:03:32, 0, 9, 9, 9
2018-07-16 09:03:33, 0, 9, 9, 9
2018-07-16 09:03:34, 0, 8, 8, 8
2018-07-16 09:03:35, 1, 9, 9, 9
2018-07-16 09:03:36, 0, 8, 8, 8
2018-07-16 09:03:37, 0, 8, 8, 8
2018-07-16 09:03:38, 0, 8, 8, 8
2018-07-16 09:03:39, 0, 8, 8, 8
2018-07-16 09:03:40, 0, 8, 8, 8
2018-07-16 09:03:41, 0, 8, 8, 8
2018-07-16 09:03:42, 0, 8, 8, 8
2018-07-16 09:03:43, 0, 8, 8, 8
2018-07-16 09:03:44, 0, 8, 8, 8
